ident,ru,en
checkpoint_name,Работа с GitHub,
2afe02fd-48a0-44f3-b882-96de3128b1e3,"На проекте мы работаем с системой контроля версий git и храним наш код на GitHub.[br/]Система контроля версий — это инструмент, который помогает отслеживать и управлять изменениями в файлах или проектах. Для всего этого мы используем [link https://github.com]GitHub[/link] ",
1bfb6519-06a6-46b0-8759-fab9bba7e407,"Это даёт на следующие преимущества[cl/][br/][b]Организация и Хранение[/b][cl/] GitHub позволяет хранить все версии текстов в одном месте, обеспечивая легкий доступ и организацию.[br/][b]Отслеживание Изменений[/b][cl/] Вы сможете видеть, как развивался ваш текст со временем, какие изменения были внесены, и легко возвращаться к предыдущим версиям при необходимости.[br/][b]Совместная Работа[/b][cl/] Если над проектом работают несколько человек, GitHub позволяет эффективно синхронизировать работу, позволяя всем участникам видеть последние изменения и вносить свои коррективы.[br/][b]Бэкап и Безопасность[/b][cl/] Ваши файлы хранятся в облаке, что снижает риск их потери из-за сбоев оборудования или других проблем. ",
e806eaa1-7625-42ec-a9c3-9f775132b99a, Понятно ,
01fe6693-0855-4853-831b-b39453e9bdc1,Если у вас ещё нет акаунта на GitHub перейдите по [link https://github.com/signup]ссылке[/link] и пройдите регистрацию. ,
a1570d79-035c-4f07-afc1-14489b2a4229, Готово ,
d1d42afe-9c2e-4cf4-9cdc-4b013a29b495,"Пришлите свой [b]username[/b] владельцу основного репозитория, чтобы он дал доступ к проекту ",
9d74ff99-6820-422c-819f-8099bfe95bfe, Готово ,
71741cc9-bdad-4c10-9069-03d979248b0d,После того как владелец добавит вас к проекту в [link https://github.com/notifications]уведомлениях[/link] вам придёт приглашение которое вам необходимо принять ,
f22a6207-1f82-4f77-a3b0-2f7ae4fef475, Готово ,
37800f79-2728-4a65-bbd7-cd8aa64267d4,"Поздравляю, теперь вы можете работать с проектом на GitHub! ",
